task_id,method,solved,tests_passed,tests_total,fraction_tests_passed,elapsed_time_ms,llm_input_tokens,llm_output_tokens,llm_total_tokens,branches_explored,steps_to_success,seed
ast_transform_scope_bug_2058,rainbow,1,4,4,1.000000,3387.408750,617,119,736,3,7,123
cache_invalidation_dependency_2073,rainbow,1,3,3,1.000000,3006.694333,640,105,745,2,5,123
concurrency_safe_memoization_2086,rainbow,0,2,4,0.500000,8547.761917,774,351,1125,3,7,123
descriptor_property_mro_4037,rainbow,1,4,4,1.000000,5090.071291,678,195,873,2,5,123
incremental_build_graph_bug_2018,rainbow,0,1,4,0.250000,36023.736709,1709,1489,3198,3,,123
incremental_build_graph_bug_2024,rainbow,1,3,4,0.750000,32141.723416,1718,1489,3207,3,,123
incremental_build_graph_bug_2092,rainbow,1,2,4,0.500000,36719.571375,1718,1489,3207,3,,123
multi_file_interface_drift_4025,rainbow,1,5,5,1.000000,5006.870167,988,171,1159,3,7,123
stateful_iterator_resume_bug_1080,rainbow,1,4,4,1.000000,11540.194125,818,530,1348,3,7,123
stateful_iterator_resume_bug_4007,rainbow,1,4,4,1.000000,12068.376334,817,530,1347,3,7,123
ast_transform_scope_bug_2058,heuristic,1,4,4,1.000000,12346.278542,1067,465,1532,2,3,123
cache_invalidation_dependency_2073,heuristic,1,3,3,1.000000,5115.597750,1028,163,1191,2,3,123
concurrency_safe_memoization_2086,heuristic,0,0,4,0.000000,11865.914000,815,464,1279,2,,123
descriptor_property_mro_4037,heuristic,1,4,4,1.000000,11196.493958,824,443,1267,2,3,123
incremental_build_graph_bug_2018,heuristic,0,0,4,0.000000,35558.373500,1913,1587,3500,2,,123
incremental_build_graph_bug_2024,heuristic,0,0,4,0.000000,38155.062792,1922,1587,3509,2,,123
incremental_build_graph_bug_2092,heuristic,0,0,4,0.000000,38019.268917,1922,1587,3509,2,,123
multi_file_interface_drift_4025,heuristic,1,5,5,1.000000,6547.503625,947,244,1191,2,3,123
stateful_iterator_resume_bug_1080,heuristic,0,0,4,0.000000,34187.431500,1784,1412,3196,2,,123
stateful_iterator_resume_bug_4007,heuristic,0,0,4,0.000000,38443.417959,1784,1438,3222,2,,123
ast_transform_scope_bug_2058,random,1,4,4,1.000000,11930.395042,1067,465,1532,2,2,123
cache_invalidation_dependency_2073,random,1,3,3,1.000000,5337.502584,1028,163,1191,2,2,123
concurrency_safe_memoization_2086,random,0,0,4,0.000000,11719.523375,815,469,1284,2,,123
descriptor_property_mro_4037,random,0,4,4,0.750000,11069.341833,824,443,1313,2,2,123
incremental_build_graph_bug_2018,random,0,0,4,0.000000,34853.805334,1913,1587,3500,2,,123
incremental_build_graph_bug_2024,random,0,0,4,0.000000,40029.610750,1922,1587,3509,2,,123
incremental_build_graph_bug_2092,random,0,0,4,0.000000,37562.982875,1922,1587,3509,2,,123
multi_file_interface_drift_4025,random,1,5,5,1.000000,6054.061750,947,244,1191,2,2,123
stateful_iterator_resume_bug_1080,random,0,0,4,0.000000,35260.752375,1784,1412,3196,2,,123
stateful_iterator_resume_bug_4007,random,0,0,4,0.000000,36275.561167,1784,1411,3195,2,,123
ast_transform_scope_bug_2058,one_shot,0,3,4,0.750000,40577.412458,2966,1647,4613,1,2,123
cache_invalidation_dependency_2073,one_shot,1,3,3,1.000000,12480.664125,1978,394,2372,1,2,123
concurrency_safe_memoization_2086,one_shot,0,0,4,0.000000,17969.902916,1466,719,2185,1,,123
descriptor_property_mro_4037,one_shot,1,4,4,1.000000,16803.957792,1609,656,2265,1,2,123
incremental_build_graph_bug_2018,one_shot,0,0,4,0.000000,42382.048167,2902,1854,4756,1,,123
incremental_build_graph_bug_2024,one_shot,0,0,4,0.000000,40230.122209,2921,1624,4545,1,,123
incremental_build_graph_bug_2092,one_shot,0,0,4,0.000000,42780.543917,2922,1621,4543,1,,123
multi_file_interface_drift_4025,one_shot,1,5,5,1.000000,13901.608083,1956,578,2534,1,2,123
stateful_iterator_resume_bug_1080,one_shot,0,0,4,0.000000,40730.950166,2661,1677,4338,1,,123
stateful_iterator_resume_bug_4007,one_shot,0,0,4,0.000000,42299.715583,2663,1677,4340,1,,123
